ID,title,approach,data,region,exclude,rationale,observations,disturbance.factor,grazing,goal,soil,benchmark,paradigm,
29,Effectiveness of shrub planting and grazing exclusion on degraded sandy grassland restoration in Horqin sandy land in Inner Mongolia,shrub planting and grazing exclusion,experiments,China,no, ,,desertification,past overgrazing,vegetation and soil,chemical composition,natural grassland,planting,
30,Response of lizard community structure to desert grassland restoration mediated by a keystone rodent,herbicide-lizards and rodent,field data,"New Mexico, USA",no, ,,shrub encroachment,no,grasslands,no,not clear,recovery of animal biodiversity,
31,"Arrival vs. retention of seeds in bare patches in the semi-arid desertified grassland of Inner Mongolia, northeastern China",seed arrival and retention,field data,China,no, ,,desertification,past overgrazing,grasslands,no,not clear,natural recovery,
32,"Effects of different grassland restoration approaches on soil properties in the southeastern Horqin sandy land, northern China",soil properties- 3 restoration techniques,field data,China,no, ,,desertification,past overgrazing,vegetation and soil,physicochemical and biological properties,not clear,artificial forested grassland,
34,"Responses of biomass to the addition of water, nitrogen and phosphorus in Keerqin sandy grassland, Inner Mongolia, China","water, nitrogen and phosphorus- natural restoration",field data,China,no, ,,cropland,no,vegetation and soil,physicochemical properties,not clear,natural recovery,
35,Grassland-shrubland transformation and grazing: A century-scale view of a northern Chihuahuan Desert grassland,grazing exclusion,App.supplementary data,"New Mexico, USA",no, , ,grazing,livestock,vegetation,no,grassland before grazing,adaptive management of grazing,
37,Does shrub invasion indirectly limit grass establishment via seedling herbivory? A test at grassland-shrubland ecotones,seedling herbivory- shrub encroachment,field data,"New Mexico, USA",no, ,,"grazing, drought and encroachment",livestock,grasslands,no,grassland ,native grasslands,
39,What stabilizes biological soil crusts in the Negev Desert?,biocrusts,field data,Israel,no, ,, ,no,ecosystem,physicochemical properties,not clear,not clear,exclude?no restor tech
40,"Effects of nitrogen, phosphorus and potassium addition on the productivity of a karst grassland: Plant functional group and community perspectives",addition of nutrients,App.supplementary data,China,no, ,,rocky desertification,past livestock grazing,forest vegetation,nutrients,forest vegetation,active management to restore forest,
41,Formation of litter crusts and its multifunctional ecological effects in a desert ecosystem,litter crust- seedling establishment,field data,China,no, ,,water-wind erosion,no,vegetation and soil,"moisture, temperature, pahysicochemical properties",not clear,natural recovery,
42,Accuracy of space-for-time substitution for vegetation state prediction following shrub restoration,restoration state of a planting shrub,field data,China,no, ,,desertification,past overgrazing,vegetation,no,not clear,re-establish natural ecosystem state,
43,The Groot Effect: Plant facilitation and desert shrub regrowth following extensive damage, foundation shrub species,field data,"California, USA",no, ,,canopy removal,no,vegetation,no,native plant communities,positive interactions,
44,Established Perennial Vegetation Provides High Resistance to Reinvasion by Exotic Annual Grasses,planting of natives after exotics control,field data,"Oregon, USA",no, ,,exotic annual grass invasion,no,perennial community,no,perennial native grasses,active planting native seedlings,
45,"Introducing a shrub species in a degraded steppe shifts fine root dynamics and soil organic carbon accumulations, in northwest China",root dynamics and soil carbon after shrub planting,App.supplementary data,China,no, ,,soil erosion,grazing excluded,soil,physicochemical properties,natural vegetation,chemical process restoration,
46,Landscape genetic approaches to guide native plant restoration in the Mojave Desert:,genetics of species used in restoration,Dryad,USA,no, , , ,no,genetic diversity,no,not clear,not clear,exclude?no restor tech
48,Evaluating strategies for facilitating native plant establishment in northern Nevada crested wheatgrass seedings,glyphosate and mecanical treatment to favor the establishment of native species,field data,"Nevada, USA",no, ,,exotic grasses,fenced to livestock,native vegetation,no,native plant communities,adaptive management approaches,
50,"Ecological restoration in contaminated soils of Kokdzhon phosphate mining area (Zhambyl region, Kazakhstan)",planting to restore a mining area ,field data,Kazakhstan,no, ,short communication,mining,no,ecological restor-non native planting,heavy metals,not clear,not clear,
51,Effect of naturally vs manually managed restoration on ground-dwelling arthropod communities in a desertified region,"naturally restored and afforested, effects on arthropods",field data,China,no, ,,grazing,fenced ,vegetation and soil,physicochemical properties,diverse arthropod community,ecosystem functioning,
52,Can native annual forbs reduce Bromus tectorum biomass and indirectly facilitate establishment of a native perennial grass?,adding native species to compete with exotics,field data,USA,no, ,,exotic annual grass invasion,livestock and horses,perennial native grasses,no,perennial native grasses,rebuild native community,
53,Restoring the sagebrush component in crested wheatgrass-dominated communities,planting natives into invaded sites treated with glyphosate,field data,"Oregon, USA",no, ,,exotic annual grass invasion,past livestock grazing,native vegetation,no,native plant communities,exotics control,
54,Identifying Native Vegetation for Reducing Exotic Species during the Restoration of Desert Ecosystems,evaluation of native communities to reduce invasion of exotics,"field data, App.",USA,no, ,,exotic annual grass invasion,no,native vegetation,nutrients,native plant communities,ecosystems dominated by native species,
55,Can resource-use traits predict native vs. exotic plant success in carbon amended soils?,carbon amendments and effects on native and invasive species germination ,"field data, App.","California, USA",no, ,,exotic annual grass invasion,no,native vegetation,"C, N",native plant communities,native plant restoration,
58,Cross-spatial-scale patterns in the facilitative effect of shrubs and potential for restoration of desert steppe,"facilitation of shrubs, potentially applied in restoration",field and images,Mongolia,no, ,,grazing,livestock,species diversity,no,diverse plant community,positive interactions,
59,Post-Fire Control of Invasive Plants Promotes Native Recovery in a Burned Desert Shrubland,herbicide-herbicide and weeding-raking for reduncing exotics after fire,field data,"California, USA",no, ,,invasive annuals and fire,no,native vegetation,no,native plant communities,native plant restoration,
61,Revegetation of medusahead-invaded sagebrush steppe,herbicide and burning to control an exotic annual,field data,"Oregon, USA",no, ,,exotic annual grass invasion,no,native vegetation,no,perennial native grasses,native plant restoration,
63,A technology for rapid reconstruction of moss-dominated soil crusts,biological soil crusts restoration,experiments,China,no, ,,anthropogenic disturbance,no,biological soil crusts,nutrients,moss dominated soil crusts,soil restoration,
64,Restoration of species-rich grasslands on ex-arable land: Seed addition outweighs soil fertility reduction,carbon addition-top soil removal-sowing on exarable soil,App.supplementary data,Netherlands,no, ,,ex-arable,no,plant and soil community,chemical and microbia properties,rich grasslands,active restoration,
65,"Irrigation and fertilization effects on seed number, size, germination and seedling growth: Implications for desert shrub establishment",fertilization and irrigation conditions for seed production and seedling establishment,field and greenhouse data,"California, USA",no, ,,not clear,no,native vegetation,nutrients,native plant communities,not clear,exclude?no restor tech
66,Establishing native grasses in a big sagebrush-dominated site: An intermediate restoration step,"grasses seed addition, shrub facilitation",experiments,USA,no, ,,intense cattle grazing and fire suppression,past grazing,productive grasslands,no,vegetation before grazing,positive interactions,
68,Spacing and competition between planted grass plugs and preexisting perennial grasses in a restoration site in Oregon,planting natives at different distances from other natives,field data,"Oregon, USA",no, ,,grazing,cattle,native vegetation,no,native plant communities,"active restoration, competence",
69,Rapid vegetation regeneration in a seriously degraded Rhanterium epapposum community in northern Kuwait after 4 years of protection,"protection of grazing, natural recovery","field data, App.",Kuwait,no, ,,overgrazing,fenced,vegetation,no,vegetation before grazing,passive restoration,
71,"Nurse plants, mycorrhizae, and plant establishment in a disturbed area of the Sonoran Desert",Arbuscular-mycorrhizal fungi system,field data,Mexico,no, ,,clearing,no,"vegetation, fungi and soil",physicochemical properties,vegetation before disturbance,passive restoration,
73,Ants as indicators of exposure to environmental stressors in North American desert grasslands,ants as indicators of ecosystem condition,field data,USA,no, ,,livestock grazing,livestock,native vegetation,no,not clear,passive restoration,
74,Reestablishment of a rodent community in restored desert scrub,rodent abundance in restored and undegraded areas,field data,"California, USA",no, ,,construction of flood structures,no,native vegetation,no,undegraded natural area,recovery of rodent community,
76,"Going native, going local: revegetating eroded soils on the Falkland Islands using native seeds and farmland waste",sowing native species,field data,Falkland Islands,no, ,,grazing,cattle and sheep,native vegetation,moisture and temperature,revegetation,active restoration,
77,P-removal for restoration of Nardus grasslands on former agricultural land: cutting traditions,phosporus and grassland restoration ,"field data, App.",Belgium,no, ,,past fertilization,grazing as a treatment,semi-natural grasslands,"P, N evaluation",semi-natural grasslands,active restoration,
78,Quantifying establishment limitations during the ecological restoration of species-rich Nardus grassland,germination and survival in three different restoration ,"field data, App.",Belgium,no, ,,agriculture,no,semi-natural grasslands,biogeochemistry,semi-natural grasslands,active restoration,
80,Assessing the shelf life of cost-efficient conservation plans for species at risk across gradients of agricultural land use,costs of conservation and restoration plans,images data,Canada,no, , , , , , , , ,
82,Conversion of cropland to forage land and grassland increases soil labile carbon and enzyme activities in northeastern China,soil carbon and enzyme activities at grassland and croplands,field data,China,no, ,,cropland,no,soil C and enzyme,"C, enzyme activities",restored grassland,productive grasslands,
84,Response of endemic and exotic earthworm communities to ecological restoration,impact of vegetation restoration on earthworm communities,field data,New Zealand,no, ,,agriculture,no,native vegetation and earthworm,no,not clear,native communities,
85,Softening the agricultural matrix: A novel agri-environment scheme that balances habitat restoration and livestock grazing,critics to the Whole-of-Paddock Rehabilitation program,literature,Australia,no, , ,agriculture,grazing,native vegetation,no,agroecosystems,production and biodiversity,
86,Impacts of prairie grass species restoration on plant community invasibility and soil processes in abandoned agricultural fields,evaluation of grasses to reduce invasion,field data,USA,no, ,,abandoned old-fields,no,native vegetation,chemical composition,native plant communities,active restoration,
87,Phosphorus mining for ecological restoration on former agricultural land,fertilization evaluation for grasses recovering,"field data, App.",Belgium,no, ,,past fertilization,no,vegetation and soil,chemical composition,semi-natural grasslands,soil restoration,
88,The response of soil organic carbon and nitrogen 10 years after returning cultivated alpine steppe to grassland by abandonment or reseeding,"abandonment and reseeding, soil carbon and nitrogen",field data,China,no, ,,agriculture,no,vegetation and soil,physicochemical properties,native grasslands,passive and active restoration,
89,Diminishing Returns from Higher Density Restoration Seedings Suggest Trade-offs in Pollinator Seed Mixes,sowing of forbs as restoration and pollinators attraction,"field data, App.","California, USA",no, ,,agriculture,no,vegetation and pollinators,no,not clear,mixed prairies,
91,"Effects of local-scale management on herbaceous plant communities in Brigalow (Acacia harpophylla) agroecosystems of southern Queensland, Australia",restoring vegetation in agroecoystems,App.supplementary data,Australia,no, ,,agriculture,cattle,plant biodiversity,no,agroecosystems,biodiversity in agroecosystems,
93,Exotic vs. native plant dominance over 20years of old-field succession on set-aside farmland in Argentina,natural recovery of old-field,App.supplementary data,Argentina,no, ,,agriculture,livestock,vegetation,no,semi-natural vegetation,novel vegetation states,
95,The effect of restoration methods on the quality of the restoration and resistance to invasion by exotics,"sowing and planting of natives, reduction of exotics",field data,USA,no, ,,agriculture,no,native vegetation,no,native vegetation remnants,active restoration,
96,Are small rodents key promoters of ecosystem restoration in harsh environments? A case study of abandoned croplands on Mongolian grasslands,effects of rodents on vegetation restoration,field data,Mongolia,no, ,,cropland,past livestock grazing,native vegetation,no,native vegetation,rehabilitation by rodents,
98,Effects of sowing and management on vegetation succession during grassland habitat restoration,"sowing, cutting, grazing treatments",field data,Scotland,no, ,,agriculture,cattle and sheep,semi-natural grasslands,no,semi-natural grasslands,active restoration,
100,Weed control and soil amendment effects on restoration plantings in an Oregon grassland,experiments of weed control,field data,"Oregon, USA",no, ,,exotic annual grass invasion,past livestock grazing,perennial native grasses,chemical,native grasslands,active restoration,
101,Spatial Patterns and Natural Recruitment of Native Shrubs in a Semi-arid Sandy Land,passive restoration,field data,China,no, ,,desertification,past overgrazing,native vegetation,no,stabilized sand land,passive restoration,
104,Establishment of shrub species in a degraded semiarid site after inoculation with native or allochthonous arbuscular mycorrhizal fungi,mycorrhizal inoculation for the establishment of native shrubs,experiments,Spain,no, ,,abandoned old-fields,past grazing,native vegetation and fungi,physicochemical properties,native vegetation,active restoration,
105,Fertile island development around perennial shrubs across a mojave desert chronosequence,fertile islands in undisturbed desert areas and abandoned roadways,field data and laboratory,"Arizona, USA",no, ,,abandoned roads,no,native vegetation,physicochemical properties,undisturbed desert,natural recovery,
106,Summer establishment of sonoran desert species for revegetation of abandoned farmland using line source sprinkler irrigation,seeded for revegetation of abandoned farmlands,field data,"Arizona, USA",no, ,,abandoned farmland,no,vegetation,water addition,revegetation,active restoration,
107,Soil water retention on gold mine surfaces in the Mojave Desert,water retention experiments in abandoned mines (to improve revegetation),experiments,"California, USA",no, ,,mining,no,vegetation and soil,water and chemical composition,revegetation,active restoration,
108,Plant and soil recovery along a series of abandoned desert roads,plants and soil natural recovery on abandoned roads,field data,"Nevada, USA",no, ,,abandoned roads,no,vegetation and soil,physicochemical properties,natural community,passive restoration,
109,Desert restoration: revegetation trials on abandoned farmland,"planting, sowing",field data,USA,no, ,,abandoned farmland,no,native vegetation,no,native vegetation,active restoration,
110,Natural revegetation of a semiarid habitat alters taxonomic and functional diversity of soil microbial communities,natural revegetation and its effect on soil microbiome,"field data, App.",China,no, ,,agriculture,no,grasslands and soil microbes,chemical composition,revegetation,passive restoration,
111,"Effects of legume species introduction on vegetation and soil nutrient development on abandoned croplands in a semi-arid environment on the Loess Plateau, China",effects of natural revegetation and introductions on vegetation cover and soil total nitrogen,field data,China,no, ,,abandoned farmland,no,vegetation and soil,chemical composition,revegetation,active restoration,
112,"Native plant regeneration on abandoned desert farmland: Effects of irrigation, soil preparation, and amendments on seedling establishment",direct seeding for revegetate an abandoned farmland,field data,"Arizona, USA",no, ,,abandoned farmland,no,native vegetation,mulch and phosphate addition,native vegetation,active restoration,
114,Transplanting native plants to revegetate abandoned farmland in the western Mojave Desert,transplants of native shrubs,field data,"California, USA",no, ,,abandoned farmland,herbivory,native vegetation,chemical composition,native vegetation,active restoration,
115,"The effect of grazing exclusion over time on structure, biodiversity, and regeneration of high nature value farmland ecosystems in Europe","grazing exclusion, natural recovery",field data,Portugal,no, ,,grazing,fenced to cattle,vegetation,no,native vegetation,passive restoration,
118,Edaphic constraints on seed germination and emergence of three Acacia species for dryland restoration in Saudi Arabia,Direct seeding,field data,Saudi Arabia,no, ,,desertification,past grazing,native vegetation,physical attributes,revegetation,active restoration,
119,Response of degraded vegetation to introduction of prescribed burning or mowing management in a Mongolian steppe,prescribed burning and mowing,field data,Mongolia,no, ,,shrub encroachment,grazing excluded,native grasslands,chemical composition,native grasslands,active restoration,
120,The relative importance of habitat quality and landscape context for reptiles in regenerating landscapes,habitat quality for reptiles in regenerating woodland,"field data, App.",Australia,no, ,,agriculture,past grazing,vegetation and reptiles,no,not clear,animal species recovery,
121,Factors affecting the recovery of abandoned semi-arid fields after legume introduction on the Loess Plateau,"introduction of legumes to abandoned field, succesion of natives","field data, App.",China,no, ,,abandoned farmland,no,vegetation and soil,chemical composition,native vegetation,active restoration,
126,Surprisingly fast recovery of biological soil crusts following livestock removal in southern Australia,grazing exclusion and recovery of biological soil crusts,"field data, App.",Australia,no, ,,grazing,past livestock grazing,biological soil crusts,nutrients,crusts of little disturbed sites,passive restoration,
127,Vegetation succession in reclaimed coal-mining slopes in a Mediterranean-dry environment,ecological succesion of different restoration techniques,"field data, App.",Spain,no, ,,mining,sheep,vegetation,chemical composition,not clear,active restoration,
128,Establishment of native perennial shrubs in an agricultural landscape,factors limiting establishment of shrubs in cropped land,field and lab data,Australia,no, ,,agriculture,fenced,native vegetation,no,native grasslands,active restoration,
129,Seed inoculation with effective root-nodule bacteria enhances revegetation success,direct-seeding inoculated with bacteria,field data,Australia,no, ,,clearing and grazing,past grazing,native vegetation,no,revegetation,active restoration,
130,Dominant plant species shape soil bacterial community in semiarid sandy land of northern China,effects of plants during restoration on soil bacterial community,lab,China,no, , ,desertification,past overgrazing,native vegetation and bacteria,physicochemical properties,revegetation,active restoration,
132,Optimizing seed mixture diversity and seeding rates for grassland restoration,seeding experiment ,"field data, App.",USA,no, ,,removal of vegetation and tilling,no,native vegetation,no,plant diversity,active restoration,
133,Land-use types and soil chemical properties influence soil microbial communities in the semiarid Loess Plateau region in China,effects of land-use change on microbial communities,lab,China,no, ,,land-use changes,no,vegetation and soil,microbial and chemical properties,natural vegetation,active restoration,
134,"Use of shelter tubes, grass-specific herbicide, and herbivore exclosures to reduce stressors and improve restoration of semiarid thornscrub forests","herbicide, herbivore exclosures, and shelter tubes","field data, App.","Texas, USA",no, ,,agriculture,no,native vegetation,no,native vegetation,active restoration,
135,Factors limiting vegetation recovery processes after cessation of cropping in a semiarid grassland in Mongolia,factors limiting vegetation recovery after cropping,field data,Mongolia,no, ,,abandoned cropland,past grazing,vegetation and soil,physicochemical properties,native vegetation,passive restoration,
139,Effects of different vegetation restoration on soil water storage and water balance in the Chinese Loess Plateau,"plantings, effect on water dynamics",field data,China,no, ,,desertification,no,vegetation and water soil,water,afforestation,active restoration,
141,Accumulation of soil organic carbon during natural restoration of desertified grassland in China’s Horqin Sandy Land,"grazing exclusion, C accumulation",field and lab data,China,no, ,,desertification,sheep excluded ,vegetation and carbon storage,carbon storage,natural recovery,passive restoration,
142,Managing contingency in semiarid grassland restoration through repeated planting,repeated planting ,"field data, App.",USA,no, ,,abandoned cropland,no,native vegetation,no,native vegetation,active restoration,
143,Mowing Reduces Exotic Annual Grasses but Increases Exotic Forbs in a Semiarid Grassland,mowing and seeding of natives to reduce exotics,"field data, App.",USA,no, ,,exotic plants,no,native perennial grasses,no,native grasslands,active restoration,
145,Shade shelters increase survival and photosynthetic performance of oak transplants at abandoned fields in semi-arid climates,light affecting transplanted oak species,field data,Mexico,no, ,,deforestation,no,native vegetation,no,native vegetation,active restoration,
146,"Effects of nurse shrubs and tree shelters on the survival and growth of two Austrocedrus chilensis seedling types in a forest restoration trial in semiarid Patagonia, Argentina","facilitation of shrubs, potentially applied in restoration",field data,Argentina,no, ,,deforestation,herbivory,native vegetation,temperature and moisture,native vegetation,active restoration,
147,Plant Community Recovery Following Restoration in Semiarid Grasslands,seeding ,"field data, App.",USA,no, ,,abandoned farmland,excluded,native vegetation,no,undisturbed plant community,active restoration,
148,Distribution of soil carbon and nitrogen along a revegetational succession on the Loess Plateau of China,C and N during revegetational succession,field data,China,no, ,,water-wind erosion,excluded,vegetation,"C, N",revegetation,active restoration,
149,"The use of seedbed modifications and wood chips to accelerate restoration of well pad sites in western colorado, U.S.A.","seedbed modifications, soil amendments, seed mixtures, seeding",field data,USA,no, ,,natural gas exploration,no,native vegetation,chemical composition,native vegetation,active restoration,
151,Use of biostimulants on soil restoration: Effects on soil biochemical properties and microbial community,application of biostimulants,experiments,Spain,no, ,,erosion,no,"soil nutrients, microbiota, vegetation",biostimulants,microbial and vegetation recovery,active restoration,
152,"Short-Term and Long-Term Effects of Soil Ripping, Seeding, and Fertilization on the Restoration of a Tropical Rangeland","soil tilling, fertilization, and seeding with native grasses",experiments,Africa,no, ,,overgrazing,livestock,native vegetation,compactness and infiltration,native vegetation,active restoration,
153,Factors Affecting Revegetation of Oil Field Access Roads in Semiarid Grassland,seeding and colonization,field data,USA,no, ,? Roads,roads,no,vegetation,no,pre-disturbance condition,monitoring restoration,
154,The Influence of Historical Land Use and Water Availability on Grassland Restoration,water addition,"field data, App.",China,no, ,,abandoned old-fields,past overgrazing,vegetation,physicochemical properties,undisturbed community,active restoration,
155,Arthropod and plant communities as indicators of land rehabilitation effectiveness in a semiarid shrubsteppe,"undisturbed-weed infested-rehabilitated, arthropod and plants",field data,USA,no, ,,exotic annual grass invasion,no,native vegetation and arthropods,no,undisturbed plant community,ecosystem restoration,
157,Comparing direct abiotic amelioration and facilitation as tools for restoration of semiarid grasslands,"facilitation, planting and sowing",field data,Spain,no, ,,desertification,past overgrazing,native vegetation,chemical composition,pre-disturbance condition,active restoration,
160,Native perennial grasses in highway medians: Pre- and postplant techniques for establishment in a mediterranean climate,"herbicide, disc cultivation, and species selection",field data,USA,no, ,? Roadsides,roadsides,no,native perennial grasses,physicochemical properties,native vegetation,active restoration,
161,Restoration of palatable grasses: A study case in degraded rangelands of central Argentina,mechanical disturbance and seeding,field data,Argentina,no, ,short communication,grazing,livestock excluded,palatable grasses,no,palatable grasses,active restoration,
162,Road slope revegetation in semiarid mediterranean environments. Part I: Seed dispersal and spontaneous colonization,spontaneous colonization of road slopes,field data,Spain,no, ,? Road slopes,road slopes,no,vegetation cover,no,revegetation,passive restoration,
164,"Are ecosystem composition, structure, and functional status related to restoration success? A test from semiarid mediterranean steppes","planting, success",field data,Spain,no, ,,human activities,no,native vegetation,physicochemical properties,native vegetation,active restoration,
166,Implications of plant density on the resulting community structure of mine site land,seeding to restore mine site areas,experiments,Australia,no, ,,mining,no,native vegetation,no,diverse community,active restoration,
167,Semiarid old-field restoration: Is neighbor control needed?,"neighbor control (mowing and herbicide), mulching (straw and sawdust), sowing",experiments,Canada,no, ,,abandoned old-fields,no,native grasses,chemical composition,native vegetation,active restoration,
168,Medium-term effects of mycorrhizal inoculation and composted municipal waste addition on the establishment of two Mediterranean shrub species under semiarid field conditions,"composted municipal waste addition to soil, mycorrhizal inoculation",experiments,Spain,no, ,,erosion,no,native vegetation and soil,physicochemical properties,revegetation,active restoration,
169,"Contingency of grassland restoration on year, site, and competition from introduced grasses","drilling and broadcasting of seeds, scattering of native hay",experiments,USA,no, ,,exotic grasses,no,native vegetation,no,native vegetation,active restoration,
170,"Grazing exclusion-induced shifts, the relative importance of environmental filtering, biotic interactions and dispersal limitation in shaping desert steppe communities, northern China",grazing exclusion,"field data, App.",China,no, ,,grazing,livestock excluded,vegetation and soil,physicochemical properties,biomass,passive restoration,
171,"Seeding alters plant community trajectory: Impacts of seeding, grazing and trampling on semi-arid re-vegetation","seeding, grazing","field data, App.",USA,no, ,,industries,cattle,native vegetation,no,undisturbed vegetation,active restoration,
179,Long-Term revegetation success of severely degraded chenopod shrublands,"mechanical intervention and direct seeding, success of restoration program",field data,Australia,no, ,success,overgrazing,livestock,native vegetation,no,not clear,active restoration,
180,Restoring productive rangelands: A comparative assessment of selective and non-selective chemical bush control in a semi-arid Kalahari savanna,chemical control,App.supplementary data,Africa,no, ,,shrub encroachment,livestock,grasslands ,no,productive savanna,active restoration,
182,The combination of quarry restoration strategies in semiarid climate induces different responses in biochemical and microbiological soil properties,soil addition and planting,field data,Spain,no, ,,mining,no,vegetation and soil,chemical and microbia properties,undisturbed soil,active restoration,
188,Indicators of landscape organization and functionality in semi-arid former agricultural lands under a passive restoration management over two periods of abandonment,functional status of an abandoned farmland,field data,Argentina,no, ,,abandoned farmland,no,native vegetation,physicochemical properties,not clear,passive restoration,
193,The role of resource limitation in restoration of sagebrush ecosystems dominated by cheatgrass (Bromus tectorum),litter-burning-seeding on exotic control,experiments,USA,no, ,,exotic annual grass invasion,fenced to cattle,native vegetation,litter and N meassured,not clear,active restoration,
194,"Restoring a desert ecosystem using soil salvage, revegetation, and irrigation","soil salvage, revegetation and irrigation",App.supplementary data,USA,no, ,,road construction,no,native perennial vegetation,topsoil salvage,undisturbed desert,active restoration,
195,Effects of regenerating vegetation on soil enzyme activity and microbial structure in reclaimed soils on a surface coal mine site,"planting, soil enzyme activities and microbial abundance",App.supplementary data,China,no, ,,mining,no,vegetation and soil,"chemical, enzyme and microbial meassures",not clear,active restoration,
197,Evaluating nurse plants for restoring native woody species to degraded subtropical woodlands,planting under nurse woody plants,"field data, App.",Hawai,no, ,subtropical woodlands,invasive grasses and fire,no,native vegetation,physicochemical properties,not clear,active restoration,
202,Restoring for the present or restoring for the future: Enhanced performance of two sympatric oaks (Quercus ilex and Quercus pyrenaica) above the current forest limit,planted seedlings,"field data, App.",Spain,no, ,success,human exploitation,no,native vegetation,physicochemical properties,not clear,active restoration,
204,"Response of temporal variation of soil moisture to vegetation restoration in semi-arid Loess Plateau, China",soil moisture after vegetation restoration (afforesttation and introduction of new grasses and shrubs),field data,China,no, ,,soil erosion,no,vegetation cover,moisture,not clear,active restoration,
206,"Arid old-field restoration: Native perennial grasses suppress weeds and erosion, but also suppress native shrubs",short-term irrigation and seeding native sp,App.supplementary data,"Nevada, USA",no, ,,abandoned fields,past grazing,perennial vegetation,water addition,native vegetation,active restoration,
207,Effects of fencing on vegetation and soil restoration in a degraded alkaline grassland in northeast China,fencing,field data,China,no, ,,overgrazing,excluded,vegetation cover and forage production,chemical composition,pre-disturbance condition,passive restoration,
209,Assessing degradation of abandoned farmlands for conservation of the monte desert biome in Argentina,passive succession-based management,field data,Argentina,no, ,,abandoned farmland,past livestock grazing,native vegetation,physicochemical properties,not clear,passive restoration,
