study.ID,ID,publication.year,data.year,exp.year,exp.length (months),disturbance,focus,technique,intervention,paradigm,hypothesis,pathway,plant.species,target.plant,measure.success,outcome,measured.factor,treatment,control,unit,Nsites,n.t,n.c,ntotalsamples,mean.t,mean.c,sd.t,sd.c,se.t,se.c,p,df,measure.dispersion,lat,long,continent,country,ecosystem,elevation (m),MAP (mm),aridity.index,potential.evaporation (mm),grazing,soil,notes
5,5.2,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,carbon dioxide,"seeding plot,  0-2 cm depth",not seeding plot,percent,2,3,3,6,0.22,0.25,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.2,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,carbon dioxide,"seeding plot,  2-10 cm depth",not seeding plot,percent,2,3,3,6,0.11,0.05,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.2,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,carbon dioxide,"seeding plot, 10-29 cm depth",not seeding plot,percent,2,3,3,6,0.1,0.57,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.2,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,carbon dioxide ,"seeding plot, 29-40 cm depth",not seeding plot,percent,2,3,3,6,2.39,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.2,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,carbon dioxide,"seeding plot,  40-50 cm depth",not seeding plot,percent,2,3,3,6,3.51,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.2,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,carbon dioxide,"seeding plot,  30-50 cm depth",not seeding plot,percent,2,3,3,6,,5.31,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.3,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,ph,"seeding plot,  0-2 cm depth",not seeding plot,,2,3,3,6,7.5,7.6,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.3,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,ph ,"seeding plot,  2-10 cm depth",not seeding plot,,2,3,3,6,7.8,7.7,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.3,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,ph,"seeding plot, 10-29 cm depth",not seeding plot,,2,3,3,6,8.1,8.1,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.3,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,ph,"seeding plot, 29-40 cm depth",not seeding plot,,2,3,3,6,8.3,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.3,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,ph,"seeding plot,  40-50 cm depth",not seeding plot,,2,3,3,6,8.6,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.3,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,ph,"seeding plot,  30-50 cm depth",not seeding plot,,2,3,3,6,,8.3,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.4,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total absorbes bases,"seeding plot,  0-2 cm depth",not seeding plot,mg-eq,2,3,3,6,10.14,12.66,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.4,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total absorbes bases,"seeding plot,  2-10 cm depth",not seeding plot,mg-eq,2,3,3,6,8.94,12.46,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.4,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total absorbes bases,"seeding plot, 10-29 cm depth",not seeding plot,mg-eq,2,3,3,6,12.69,15.84,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.4,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total absorbes bases,"seeding plot, 29-40 cm depth",not seeding plot,mg-eq,2,3,3,6,15.35,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.4,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total absorbes bases,"seeding plot,  40-50 cm depth",not seeding plot,mg-eq,2,3,3,6,15.54,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.4,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total absorbes bases,"seeding plot,  30-50 cm depth",not seeding plot,mg-eq,2,3,3,6,,17.89,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.5,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,exchangeable Na,"seeding plot,  0-2 cm depth",not seeding plot,percent,2,3,3,6,3,2.4,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.5,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,exchangeable Na,"seeding plot,  2-10 cm depth",not seeding plot,percent,2,3,3,6,3.6,2.5,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.5,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,exchangeable Na,"seeding plot,  10-29 cm depth",not seeding plot,percent,2,3,3,6,2.2,0.9,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.5,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,exchangeable Na,"seeding plot,  29-40 cm depth",not seeding plot,percent,2,3,3,6,3.4,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.5,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,exchangeable Na,"seeding plot,  40-50 cm depth",not seeding plot,percent,2,3,3,6,6,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.5,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,exchangeable Na,"seeding plot,  30-50 cm depth",not seeding plot,percent,2,3,3,6,,1.7,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.6,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total salts,"seeding plot,  0-2 cm depth",not seeding plot,percent,2,3,3,6,0.05,0.028,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.6,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total salts,"seeding plot,  2-10 cm depth",not seeding plot,percent,2,3,3,6,0.037,0.018,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.6,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total salts,"seeding plot,  10-29 cm depth",not seeding plot,percent,2,3,3,6,0.032,0.023,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.6,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total salts,"seeding plot,  29-40 cm depth",not seeding plot,percent,2,3,3,6,0.056,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.6,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total salts,"seeding plot,  40-50 cm depth",not seeding plot,percent,2,3,3,6,0.077,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.6,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,total salts,"seeding plot,  30-50 cm depth",not seeding plot,percent,2,3,3,6,,0.031,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.7,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,particles <0.01 mm,"seeding plot,  0-2 cm depth",not seeding plot,percent,2,3,3,6,16.93,60.52,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.7,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,particles <0.01 mm,"seeding plot,  2-10 cm depth",not seeding plot,percent,2,3,3,6,16.12,25.13,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.7,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,particles <0.01 mm,"seeding plot,  10-29 cm depth",not seeding plot,percent,2,3,3,6,25.41,35.26,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.7,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,particles <0.01 mm,"seeding plot,  29-40 cm depth",not seeding plot,percent,2,3,3,6,33.79,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.7,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,particles <0.01 mm,"seeding plot,  40-50 cm depth",not seeding plot,percent,2,3,3,6,36.44,,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.7,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,particles <0.01 mm,"seeding plot,  30-50 cm depth",not seeding plot,percent,2,3,3,6,,41.92,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.8,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,plant richness,seeding plot,not seeding plot,,2,3,3,6,30,26,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
5,5.9,2017,2014,1978,456,grazing,vegetation,seeding,seeding,active,seeding vs natural sites,planting-plant succession,Agropyron desertorum,Artemisia terrae-albae,Artemisia terrae-albae communities,vegetation and habitat,projective cover of community,seeding plot,not seeding plot,percent,2,3,3,6,55.5,53.5,,,,,,5,,46.5,60.7,Asia,Kazakhstan,grassland,,125,,,livestock,chemical composition,"not stats, unreported p value"
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"20 years of restoration, crust",0 years, mg g-1,5,64,16,80,2.17,1.88,0.24,0.19,,,0.1,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"30 years of restoration, crust",0 years, mg g-1,5,64,16,80,4.84,1.88,0.54,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"40 years of restoration, crust",0 years, mg g-1,5,64,16,80,11.75,1.88,0.69,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"50 years of restoration, crust",0 years, mg g-1,5,64,16,80,15.31,1.88,0.25,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"20 years of restoration,  0-5 cm depth",0 years, mg g-1,5,64,16,80,2.07,1.88,0.24,0.54,,,0.1,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"30 years of restoration,  0-5 cm depth",0 years, mg g-1,5,64,16,80,4.05,1.88,0.25,0.54,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"40 years of restoration,  0-5 cm depth",0 years, mg g-1,5,64,16,80,5.73,1.88,0.26,0.54,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"50 years of restoration,  0-5 cm depth",0 years, mg g-1,5,64,16,80,10.17,1.88,0.79,0.54,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"20 years of restoration,  5-15 cm depth",0 years, mg g-1,5,64,16,80,1.88,1.28,0.34,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"30 years of restoration,  5-15 cm depth",0 years, mg g-1,5,64,16,80,2.66,1.28,0.19,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"40 years of restoration, 5-15 cm depth",0 years, mg g-1,5,64,16,80,2.76,1.28,0.84,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"50 years of restoration, 5-15 cm depth",0 years, mg g-1,5,64,16,80,3.26,1.28,0.39,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"20 years of restoration, 15-35 cm depth",0 years, mg g-1,5,64,16,80,1.68,1.28,0.2,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"30 years of restoration, 15-35 cm depth",0 years, mg g-1,5,64,16,80,1.97,1.28,0.24,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"40 years of restoration, 15-35 cm depth",0 years, mg g-1,5,64,16,80,2.57,1.28,0.39,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.1,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,organic carbon,"50 years of restoration, 15-35 cm depth",0 years, mg g-1,5,64,16,80,2.07,1.28,0.29,0.19,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.101,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,b D glucosidase,"20 years of restoration, crust",0 years,mg kg-1 h-1,5,64,16,80,58.8,0,0.86,0,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
11,11.101,2015,2007,1956,600,agriculture,soil,planting,planting,active,soil conditions over years,planting-soil condition,unreported shrubs,multiple unlisted,increase in soil nutrients and enzyme activity,soil quality,b D glucosidase,"30 years of restoration, crust",0 years,mg kg-1 h-1,5,64,16,80,91.67,0,9.51,0,,,0.05,79,std.dev,37.53,105.03,Asia,China,grassland,1300,186,,2900,unreported animal,nutrients and enzyme,
